release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-08-01,No One Can Do It Better,The D.O.C.,#20,Gold,49177110,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/No_One_Can_Do_It_Better.jpg,https://open.spotify.com/track/63LiOsvf1w1DSbmjbxjh4b,https://music.apple.com/us/album/its-funky-enough/79023568?i=79023418
2025-08-01,Unfinished Business,EPMD,#53,Gold,13432564,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Unfinishedbusiness.jpg,https://open.spotify.com/track/01CuCSqlNItevX7F1GcopF,https://music.apple.com/us/album/so-wat-cha-sayin/723820648?i=723821161
2025-08-01,Am I Black Enough for You?,Schoolly D,,,1031717,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Schoolly%20D-%20Am%20I%20Black%20Enough%20for%20You.jpg,,https://music.apple.com/us/album/am-i-black-enough-for-you/1392267917?i=1392269962
2025-08-01,Banned,UGK,,,169680,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/UGK-%20Banned.jpg,https://open.spotify.com/track/1hwRDMysioWBEVorAdU1QB,https://music.apple.com/us/album/no-problem-feat-lil-wayne-2-chainz/1113239004?i=1113239443
2025-08-01,"Comin' Out Hard",8Ball & MJG,,,22356872,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/8Ball%20&%20MJG-%20Comin'%20Out%20Hard.jpg",https://open.spotify.com/track/4n3i8iYdTpOHUTf3BmGmaF,https://music.apple.com/us/album/the-first-episode/962220541?i=962220666
2025-08-01,Only Built 4 Cuban Linx...,Raekwon,#4,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Only%20Built%204%20Cuban%20Linx....jpg,https://open.spotify.com/track/6SI4JD7iyQ0rrudhCNtMv0,https://music.apple.com/us/album/incarcerated-scarfaces/258634938?i=258635319
2025-08-01,The Big Picture,Big L,#13,Gold,259048456,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Big_L_The_Big_Picture.jpg,https://open.spotify.com/track/2EpUHz5TqbAAQ8iweD75p6,https://music.apple.com/us/album/the-big-picture-intro/1614550377?i=1614550378
2025-08-01,Year of the Dog... Again,DMX,#176,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Dmx-year-of-the-dog.jpg,https://open.spotify.com/track/4luW7lSpyXXgojjsXdzqBq,https://music.apple.com/us/album/lord-give-me-a-sign/315027440?i=315027529
2025-08-01,Don’t Rhyme For The Sake Of Riddlin’,Mistachuck,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Dont%20Rhyme%20For%20The%20Sake%20Of%20Riddlin.jpg,https://open.spotify.com/track/0arnXFaVuo6OR7Ip80iezz,https://music.apple.com/us/album/run-from-the-trouble-mistachuck-mixx/847832619?i=847832633
2025-08-01,"Eazy-E's Protege",B.G. Knocc Out,,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/B.G.%20Knocc%20Out-%20Eazy-E's%20Protege.jpg",https://open.spotify.com/track/4VQNCzfZ3MdHEwwErNXpBo,https://music.apple.com/us/album/ole-school-shit-feat-gangsta-dresta-b-g-knocc-out-sylk/1168179233?i=1168180247
2025-08-01,1st of the Month Vol. 2,"Cam'ron",,,10381871,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Cam'ron_1st_of_the_Month_Vol._2.jpg",https://open.spotify.com/track/6uMJc8xKiqDa4VCmNSNrab,https://music.apple.com/us/album/sweetest-feat-rod-rhaspy/899632683?i=899632685
2025-08-01,The Black In Man,Chuck D,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20August%20Album/August_1/Chuck%20D-%20The%20Black%20In%20Man.jpg,https://open.spotify.com/track/4QeHxxiBqEgvB0CE7AwwUa,https://music.apple.com/us/album/spread-the-words/904355605?i=904355615
