release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-12-01,Planet Rock: The Album,Afrika Bambaataa & Soul Sonic Force,,,"1,904,734",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Planet%20Rock_%20The%20Album.jpg,https://open.spotify.com/album/3qX0GugLujpIodkT6r06hf,https://music.apple.com/us/album/planet-rock-re-recorded/524987214?i=524987218
2025-12-01,Bones,Bones,,,"1,089,782",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Bones.jpg,,
2025-12-01,Biro Funk,Braintax,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Biro%20Funk.jpg,https://open.spotify.com/album/2gdRMO4CPYpMTK40ijgzC4,https://music.apple.com/us/album/biro-funk/118777773
2025-12-01,1st of the Month Vol. 6,"Cam'ron",,,"10,398,554",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/1st%20of%20the%20Month%20Vol.%206.jpg,https://open.spotify.com/album/3otCEpQ6N4Km7lweVpbXea,https://music.apple.com/us/album/1st-of-the-month-vol-6-ep/947478144
2025-12-01,Dedication,Chief Keef,#97,,"178,424,870",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Chief%20Keef-Dedication.jpg,https://open.spotify.com/album/1cu8gZDe4a71AQgSlBHOAC,https://music.apple.com/us/album/dedication/1614554898
2025-12-01,Memorial Day,Full Blooded,#112,,"44,182",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Full%20Blooded-Memorial%20Day.jpg,https://open.spotify.com/album/1Qst7NW5neSczIWFVbvHC4,https://music.apple.com/us/album/memorial-day/1710005493
2025-12-01,Cocky & Confident,Juvenile,#43,,"2,744,056",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Cocky%20&%20Confident.jpg,https://open.spotify.com/album/1zm4aYlHGj6JgylzLRkhJO,
2025-12-01,The Trill: A Journey so Far,k-os,,,"335,467,902",,https://open.spotify.com/track/52eZf9gfjaeJR3EOKBwzGc,
2025-12-01,Twiztid Presents: Year of the Sword,Majik Ninja Entertainment,#81,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/Twiztid%20Presents_%20Year%20of%20the%20Sword.jpg,,https://music.apple.com/us/album/twiztid-presents-year-of-the-sword/1292918407
2025-12-01,In Us We Trust: The Compilation,Red Café,,,"166,206",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_1/In%20Us%20We%20Trust_%20The%20Compilation.jpg,,
