release_date,title,artist,ranking,certification,streams,image,spotify,apple
7/1/2025,Coming Back Hard Again,The Fat Boys,#33,Gold,"4,194,999",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Coming_Back_Hard_Again.jpg,https://open.spotify.com/track/31fq4y7ak8D1Dcp5YxgbrY,https://music.apple.com/us/album/coming-back-hard-again/1559101148
7/1/2025,1st of the Month Vol. 1,Cam'ron,,,"10,370,282",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Cam'ron_1st_of_the_Month_Vol._1.jpg,https://open.spotify.com/album/6eSesaoorBMTrSQkkKB0q3,https://music.apple.com/us/album/1st-of-the-month-vol-1-ep/890630799
7/1/2025,Ultraviolet,Sadistik,,,"7,019,351",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Sadistik-%20Ultraviolet%20.jpg,https://open.spotify.com/album/4KATPCuUBbfw2ExUd2NSIA,https://music.apple.com/us/album/ultraviolet/1445713594
7/1/2025,Biz's Baddest Beats,Biz Markie,,,"189,931,352",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Baddest_Beats.jpg,https://open.spotify.com/album/2OKf5WlgqFgszrDsxMq07t,https://music.apple.com/us/album/bizs-baddest-beats-the-best-of-biz-markie/316484158
7/1/2025,"It's All on U, Vol. 1",B.G.,,,"6,188,659","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/B.G._-_It's_All_on_U,_Vol._1.jpg",https://open.spotify.com/album/21489Xu7B0juy3uvLofQIQ,https://music.apple.com/us/album/its-all-on-u-vol-1/1454046814
7/1/2025,In That Water,Ghetto Twiinz,,,"589,771",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/In_That_Water.jpg,https://open.spotify.com/album/6d3j8Yp59sA4vsSp82Mw69,https://music.apple.com/us/album/in-that-water/1186591736
7/1/2025,Spirit in Stone,Lifesavas,,,"5,111,132",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Lifesavas-%20Spirit%20in%20Stone.jpg,https://open.spotify.com/album/3aBC0IhVal1STZB6pcdsms,https://music.apple.com/au/album/spirit-in-stone/27882087
7/1/2025,Furious Styles,Reef the Lost Cauze & Bear-One,,,"177,018",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Reef%20the%20Lost%20Cauze%20&%20Bear-One-%20Furious%20Styles.jpg,,https://music.apple.com/us/album/furious-styles/1120396053
7/1/2025,Coolaid,Snoop Dogg,#40,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Snoop%20Dogg-%20Coolaid.png,https://open.spotify.com/album/5PcQCqnfkK1IY9lrfE8sMQ,https://music.apple.com/us/album/coolaid/1125514985
7/1/2025,The Green Book,Twiztid,#52,,"9,044,200",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Twiztid-%20The%20Green%20Book.jpg,https://open.spotify.com/album/6wU7zlV9CL9ta6TKIsmv34,https://music.apple.com/us/album/the-green-book/366833402
7/1/2025,T.O.S: Terminate on Sight,G-Unit,#4,,"61,530,472",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/Terminate_On_Sight.jpg,https://open.spotify.com/album/4S0fxvOfiXJXz12EoUiYo2,https://music.apple.com/us/album/t-o-s-terminate-on-sight-bonus-track-version/1443176648
7/1/2025,Killer,Tech N9ne,#12,,"42,482,188",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20July%20Album/July_1/TechN9ne-Killer.jpg,https://open.spotify.com/album/6FirYoeExE1AdoBWs3Ut19,https://music.apple.com/ca/album/killer/719562788
