release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-06-01,Deuce,Kurtis Blow,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/king.png,,https://music.apple.com/in/album/the-deuce/972173843?i=972173948
2025-06-01,The Fat Boys Are Back,The Fat Boys,#63,Gold,"1,366,438",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Fat_Boys_Are_Back_Cover.jpg,https://open.spotify.com/track/6xZ8qCWwI57p5tLMdNYRwJ?si=07e33bdfc4cf496c,https://music.apple.com/in/album/fat-boys-are-back/400330238?i=400330239
2025-06-01,The Invincible,Raheem,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Raheem-%20The%20Invincible.jpg,https://open.spotify.com/track/4vYgwwHffXFLLGNTOjzQxn?si=f8fa219efa4d44be,https://music.apple.com/in/album/invincible/1170376977?i=1170376987
2025-06-01,The Dark Roads,Seagram,,,"73,132",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Seagramdarkroads.jpg,https://open.spotify.com/track/3eNT6ix6JSqEBVsfx2hpxT?si=68ca694290be48a9,https://music.apple.com/in/album/the-dark-roads/1162516128?i=1162516145
2025-06-01,Rigormortiz,DMG,,,"337,982",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Rigormortiz.jpg,https://open.spotify.com/album/1WCHh1NB6tpaIgXZWDKvNo?si=dXpSRNN7RYahBek86qxjqA,https://music.apple.com/in/album/rigormortiz/1175552414
2025-06-01,Venni Vetti Vecci,Ja Rule,#3,Platinum,"37,458,922",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Ja_Rule_-_Venni_Vetti_Vecci.jpg,https://open.spotify.com/album/07xrKznMcWdXvsGLK3UFIJ?si=H0etiZLVQZ-agQYfiqSOiQ,https://music.apple.com/in/album/venni-vetti-vecci/1440918766
2025-06-01,Da Crime Family,TRU,#5,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Da_Crime_Family.jpg,https://open.spotify.com/album/2VjMjFSlWVyZZ32uTxLvfB?si=_A-pauDiRMm3D-KCrEqW1g,https://music.apple.com/in/album/da-crime-family/721256772
2025-06-01,No Said Date,Masta Killa,#136,,"5,824,357",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Masta_Killa_No_Said_Date.jpg,https://open.spotify.com/track/35CDjJPjsmV3utEIZcGW3P?si=155fbb9c1fb14ea8,https://music.apple.com/in/album/no-said-date/1200629376
2025-06-01,Rap Machine,Disiz,,,"13,489,733",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Disiz-%20Rap%20Machine.jpg,https://open.spotify.com/album/1Z09M0rE5unrW6upuWXvFz?si=VuKmSYF-RtOd93c0NPAXww,https://music.apple.com/in/artist/rap-machine/1571334131
2025-06-01,R.I.P.R.O. Volume I,Lacrim,,,"624,699,902",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20June%20Album/June_1/Lacrim-%20R.I.P.R.O.%20Volume%201.jpg,https://open.spotify.com/artist/5jJkBwx2ROe1bFYaN/A?si=dlu7u55EQz2_iW7uAFtbHQ,https://music.apple.com/in/artist/r-i-p-r-o-volume-i/1443422672
