release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-05-01,A Day In the Life: A Pokadelick Adventure,Kwame,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Kwame-%20A%20Day%20In%20the%20Life_%20A%20Pokadelick%20Adventure.jpeg,https://open.spotify.com/album/0fbeVWp5NDfsnyDPi9LoOy?si=777a7c7ecc5e4c79,https://music.apple.com/us/album/a-day-in-the-life-a-pokadelick-adventure/40582443
2025-05-01,Mindstate,Shades of Culture,,,"53,198",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Shades_of_Culture_-_Mindstate.jpg,https://open.spotify.com/album/5LaSXjjVJdrlL2rYXUTZXE?si=50028541c7714659,https://music.apple.com/us/album/mindstate/260457772
2025-05-01,The Best Part,J-Live,,,"18,464,916",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/J-Live-%20The%20Best%20Part.jpg,https://open.spotify.com/album/7lvkfeGllsua86JXtLunNG?si=a09e9cdbeec64da6,https://music.apple.com/us/album/the-best-part/648769541
2025-05-01,Dillinger & Young Gotti,Tha Dogg Pound,#124,,"6,146,383",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Tha_Dogg_Pound_-_Dillinger_&_Young_Gotti.jpg,,
2025-05-01,PeteStrumentals,Pete Rock,,,"74,501,891",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Pete%20Rock-%20PeteStrumentals.jpeg,https://open.spotify.com/album/3BXHZmPR0u5TBVlxcp4Tjk?si=37705f27fb724148,https://music.apple.com/us/album/petestrumentals/1445244504
2025-05-01,cLOUDDEAD,cLOUDDEAD,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Clouddeadselftitled.jpg,,https://music.apple.com/us/album/clouddead-deluxe-edition/1695564061
2025-05-01,PunkinHed,Boondox,,,"1,687,073",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Boondox-%20PunkinHed.jpeg,https://open.spotify.com/album/4Ye4ED1yDoBi13ojMMhvjr?si=a1e73326478a4f0d,https://music.apple.com/us/album/punkinhed/979919275
2025-05-01,Trophies,Apollo Brown & O.C.,,,"10,062,406",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Trophies_(Apollo_Brown_and_O.C._album).jpg,https://open.spotify.com/album/0jt3q9DX9AU2AUDcrDzQ2O?si=45ab4aae6a814511,https://music.apple.com/us/album/trophies/1755022069
2025-05-01,Strange Clouds,B.o.B,#4,Platinum,"570,205,663",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/B.o.B_-_Strange_Clouds_-_LP_Cover.jpg,https://open.spotify.com/album/5JXkw4LxF9hvWECwy2Mzgy?si=995a567fcfb940d9,https://music.apple.com/us/album/strange-clouds/518748242
2025-05-01,Interludes After Midnight,Blockhead,,,"5,346,902",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20May%20Album/May_1/Blockhead-%20Interludes%20After%20Midnight.jpg,https://open.spotify.com/album/17QGk1qjcE7wT52oiLgjdB?si=37fc685a10c14e3b,https://music.apple.com/us/album/interludes-after-midnight/511170446
