release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-11-01,Everything Is Everything,Brand Nubian,#54,,"12,096,419",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Brand%20Nubian-%20Everything%20Is%20Everything.jpg,https://open.spotify.com/album/3VFt9RBUpcO0oM5v7sA4BP,https://music.apple.com/us/album/everything-is-everything/1604626950
2025-11-01,The Great Adventures of Slick Rick,Slick Rick,#31,Platinum,"121,454,713",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/The%20Great%20Adventures%20of%20Slick%20Rick.jpg,https://open.spotify.com/album/71mmTJdWvpkzQNm6g3TG,https://music.apple.com/us/album/the-great-adventures-of-slick-rick/1440834648
2025-11-01,Planet of da Apes,Da Lench Mob,#81,,"4,882,047",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Da%20Lench%20Mob-%20Planet%20of%20da%20Apes.jpg,https://open.spotify.com/album/4GiRpcxUyGSO6bgLRzl4rH,https://music.apple.com/us/album/planet-of-da-apes/713954213
2025-11-01,Keepers of the Funk,Lords of the Underground,#57,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Lords%20of%20the%20Underground-%20Keepers%20of%20the%20Funk.jpg,,
2025-11-01,Jupiter Sajitarius,Noah23,,,"9,044,200",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Noah23-%20Jupiter%20Sajitarius.jpg,https://open.spotify.com/album/1AhI3Yykj0Fl2xm5g7EMRd,
2025-11-01,Hip-Hop for Sale,Canibus,#2,Platinum,"6,085,245",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Canibus-Hip-Hop%20for%20Sale.jpg,https://open.spotify.com/album/3XB4QiOnk5B7YhAWdtE5Ns,https://music.apple.com/us/album/hip-hop-for-%24ale/257897783
2025-11-01,The Loneliest Punk,Fatlip,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Fatlip-%20The%20Loneliest%20Punk.jpg,https://open.spotify.com/album/3fwZatk1y2idQ00Ybn43TA,https://music.apple.com/us/album/the-loneliest-punk/80451844
2025-11-01,New Whirl Odor,Public Enemy,#4,Platinum,"289,718,182",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Public%20Enemy-%20New%20Whirl%20Odor.jpg,https://open.spotify.com/album/5pPD8X7wnhfssUbvgCrGyk,
2025-11-01,Dillinger & Young Gotti II: Tha Saga Continuez...,Tha Dogg Pound,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Dillinger%20&%20Young%20Gotti%20II_%20Tha%20Saga%20Continuez...jpg,https://open.spotify.com/album/13znZntpessY4pvdTu9JbD,https://music.apple.com/us/album/dillinger-young-gotti-ii-tha-saga-continuez/1539029361
2025-11-01,The Inevitable Rise and Liberation of NiggyTardust!,Saul Williams,#5,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/The%20Inevitable%20Rise%20and%20Liberation%20of%20NiggyTardust!.jpg,https://open.spotify.com/album/40Hyq2XWHHXJ07Ofap0gIe,https://music.apple.com/us/album/the-inevitable-rise-and-liberation-of-niggy-tardust/1443878336
2025-11-01,Black and Brown,Black Milk & Danny Brown,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Black%20Milk%20&%20Danny%20Brown-Black%20and%20Brown.jpg,https://open.spotify.com/album/61KN8iSYTZq58bfsCfEwiZ,https://music.apple.com/us/album/black-and-brown/1152741220
2025-11-01,Ripgut Collections Two,Brotha Lynch Hung,#1,Platinum,"1,766,117",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Brotha%20Lynch%20Hung-Ripgut%20Collections%20Two.jpg,https://open.spotify.com/album/1D7G9p0UviDplS7GdIkCcJ,https://music.apple.com/us/album/the-ripgut-collection-two/1626323082
2025-11-01,DFD,Dumbfoundead,,,"13,473,111",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Dumbfoundead-DFD.jpg,https://open.spotify.com/album/0GzvtJK1moTO2pElgGPQU2,https://music.apple.com/us/album/dfd/474370842
2025-11-01,Habits of the Heart,Idle Warship,,,"834,416,028",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Idle%20Warship-%20Habits%20of%20the%20Heart.jpg,,https://music.apple.com/us/album/habits-of-the-heart/475571904
2025-11-01,Classic,M.E.D.,#5,,"128,706",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/M.E.D.-Classic.jpg,,
2025-11-01,Dirty Pretty Things,Rapper Big Pooh,,,"90,573",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Rapper%20Big%20Pooh-%20Dirty%20Pretty%20Things.jpg,https://open.spotify.com/album/6kaZL5J7yPZEehv6kw4HWE,https://music.apple.com/us/album/dirty-pretty-things/472816497
2025-11-01,Skate Boy,Soulja Boy,#15,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Soulja%20Boy-%20Skate%20Boy.jpg,https://open.spotify.com/album/7bI8acfZYSLOSW8O2f8FQm,
2025-11-01,For The Record,Torae,,,"9,386,901",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Torae-%20For%20The%20Record.jpg,https://open.spotify.com/album/5fGIUJ5F3FeV1LGEkqhvpn,https://music.apple.com/us/album/for-the-record/469494273
2025-11-01,Ambition,Wale,#1,,"6,973,792",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Wale-Ambition.jpg,https://open.spotify.com/album/0jCVC8ndYYOooEY2YTO1l6,https://music.apple.com/us/album/ambition/473448038
2025-11-01,1st of the Month Vol. 5,"Cam'ron",,,"10,346,489",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/1st%20of%20the%20Month%20Vol.%205.jpg,https://open.spotify.com/album/0CoeNm9IUuv4If1TUFYnEK,https://music.apple.com/us/album/1st-of-the-month-vol-5-ep/935437075
2025-11-01,White Bronco,Action Bronson,,,"59,530,098",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Action%20Bronson-%20White%20Bronco.jpg,https://open.spotify.com/album/1RpE0cvRLrWxtaGeUjWqgV,https://music.apple.com/us/album/white-bronco/1440210228
2025-11-01,Feet of Clay,Earl Sweatshirt,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Earl%20Sweatshirt-%20Feet%20of%20Clay.jpg,https://open.spotify.com/album/0N0EFoE8csbKxl5lxT1ylm,https://music.apple.com/us/album/feet-of-clay/1483686252
2025-11-01,One of the Best Yet,Gang Starr,#82,,"85,445,225",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/November%20Album/November_1/Gang%20Starr-One%20of%20the%20Best%20Yet.jpg,https://open.spotify.com/album/4VxyKgulAGSpJwhIJjgiJr,https://music.apple.com/us/album/one-of-the-best-yet/1482971910
2025-11-01,Ghetto Gospel,Rod Wave,#14,Gold,"775,410,627",,https://open.spotify.com/album/1ft5RivOWEdZT3nfqThV7K,https://music.apple.com/us/album/ghetto-gospel/1574408895
