release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-10-01,Warning: Dangerous Exclusives,7L & Esoteric,,,"257,248",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/7L%20&%20Esoteric-%20Warning_%20Dangerous%20Exclusives.jpg,https://open.spotify.com/album/5NxjI7lW8HlSwuUSZyMzxs,https://music.apple.com/pl/album/warning-dangerous-exclusives-ep/197400944
2025-10-01,Bag Raiders,Bag Raiders,,Platinum,"472,682,744",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Bag%20Raiders-%20Bag%20Raiders.jpg,https://open.spotify.com/artist/6fXEqmGQEt6ONuqVmwrN46,https://music.apple.com/gr/artist/bag-raiders/262804084
2025-10-01,Glaciers,Blue Sky Black Death,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Blue%20Sky%20Black%20Death-%20Glaciers.jpg,https://open.spotify.com/album/5AzrpOMCxZnb9htZi0NQeR,https://music.apple.com/us/album/glaciers/689052691
2025-10-01,1st of the Month Vol. 4,"Cam'ron",,,"10,397,262","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Cam'ron-%201st%20of%20the%20Month.jpg",https://open.spotify.com/album/5G73ibw1WpmBKQFzLwBqcP,https://music.apple.com/gb/album/1st-of-the-month-vol-4-ep/921822831
2025-10-01,NØ LØVΣ DΣΣP WΠB,Death Grips,,,"75,297,768",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/No_Love_Deep_Web.png,https://open.spotify.com/album/08aqY8lv4zx4uaqBUpMD8a,
2025-10-01,The Beauty in All,Oddisee,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Oddisee-%20The%20Beauty%20in%20All.jpg,https://open.spotify.com/album/5YLc9396aArq9HUenhiopz,https://music.apple.com/us/album/the-beauty-in-all/1755030849
2025-10-01,Apocalypse 91... The Enemy Strikes Back,Public Enemy,#4,Platinum,"42,031,747",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Apocalypse%2091...%20The%20Enemy%20Strikes%20Back.jpg,https://open.spotify.com/album/3QVPMlUATe3J9N7JKXNP25,https://music.apple.com/us/album/apocalypse-91-the-enemy-strikes-black/1434918687
2025-10-01,Soul on Ice,Ras Kass,#169,,"6,894,116",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Ras%20Kass-%20Soul%20on%20Ice.jpg,https://open.spotify.com/album/2Fclbi5VpBHutl9hTsX7Du,https://music.apple.com/ke/album/soul-on-ice/724352929
2025-10-01,Disc-Overy,Tinie Tempah,,,"628,225,272",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Tinie%20Tempah-%20Disc-Overy.jpg,https://open.spotify.com/album/5vfUKFja5yx8a3TlrxjsjW,https://music.apple.com/gb/album/disc-overy-deluxe/693320619
2025-10-01,Man vs. Machine,Xzibit,#3,Gold,"143,399,939",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/October%20Album/October_1/Xzibit-%20Man%20vs.%20Machine.jpg,https://open.spotify.com/album/0d9boWzzDKA5FTuWPOhQ37,https://music.apple.com/gb/album/man-vs-machine/192966051
