release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-09-01,Last Lights Left,Audio Push,,,"484,813",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Audio%20Push-%20Last%20Lights%20Left.jpg,https://open.spotify.com/album/3NvozTkgNI3lb3nYby4Lh8,https://music.apple.com/us/album/last-lights-left/1271426498
2025-09-01,The Broad Street Bully,Beanie Sigel,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Beanie%20Sigel-%20The%20Broad%20Street%20Bully.jpg,https://open.spotify.com/album/18x5KWrTmkMUAFgCPyvKrW,https://music.apple.com/us/album/the-broad-street-bully/327936645
2025-09-01,The Assassin,Big Ed the Assassin,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/The_Assassin.jpg,https://open.spotify.com/album/4XP3DbRSIevtyePkaQjqBi,https://music.apple.com/us/artist/big-ed-the-assassin/302593895
2025-09-01,1st of the Month Vol. 3,"Cam'ron",,,"10,381,871","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Cam'ron-%201st%20of%20the%20Month.jpg",https://open.spotify.com/album/5c1ILaYXTIDiVwnGrlQ3Ce,https://music.apple.com/us/album/1st-of-the-month-vol-3-ep/911888083
2025-09-01,The Problem,C-Bo,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/C-Bo-%20The%20Problem.jpg,https://open.spotify.com/album/0T7tbJ8f98BnACbl2ITggd,https://music.apple.com/us/album/the-problem/1647675208
2025-09-01,I Gotta Get Mine Yo,Chubb Rock,,,"1,187,696",,https://open.spotify.com/album/28pnaoN6BrDAQwjMlQNAal,https://music.apple.com/ke/album/i-gotta-get-mine-yo-book-of-rhymes/1778582831
2025-09-01,Rags,EarthGang,,,"92,678,522",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/EarthGang-%20Rags.jpg,https://open.spotify.com/album/6vWPa9ZBLjjh7jsG4hRskQ,https://music.apple.com/us/album/rags-ep/1277534099
2025-09-01,Don Cartagena,Fat Joe,,Gold,"1,658,870",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Fat_Joe_Don_Cartagena.jpg,https://open.spotify.com/album/3Qaicj7ce34Ltp5b9j9ICE,https://music.apple.com/us/album/don-cartagena/1500949706
2025-09-01,Young Hot Ebony,Father,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Father-%20Young%20Hot%20Ebony.jpg,https://open.spotify.com/intl-de/track/4nCleK186LRKtkoDf6wdXn,https://music.apple.com/gb/album/young-hot-ebony/1190341826
2025-09-01,Tha Code,Gonzoe,,,"25,108",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Gonzoe-%20Tha%20Code.jpg,https://open.spotify.com/album/2WLYgz44s9lRYoHMo2bAI1,https://music.apple.com/us/album/tha-code/1266024534
2025-09-01,A Million Dollar$ Later,Herschelwood Hardheadz,,,"586,184",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Herschelwood%20Hardheadz-%20A%20Million%20Dollar$%20Later.jpg,https://open.spotify.com/album/7HcQkZM81433fBoh46W8Yu,https://music.apple.com/us/album/a-million-dollars-later/1700228454
2025-09-01,Bang! Pow! Boom!,Insane Clown Posse,#4,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Bang!_Pow!_Boom!.jpg,https://open.spotify.com/album/27D3m7el3kly9h6Z2Tx1zn,https://music.apple.com/us/album/bang-pow-boom-blue/979312702
2025-09-01,"Rapz 'n' Beatz",K-Rino & DLP,,,,"https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/K-Rino%20&%20DLP-%20Rapz%20'n'%20Beatz.jpg",https://open.spotify.com/album/0D4y1kJUrLaWACMweMzFMa,https://music.apple.com/us/album/rapz-n-beatz/1294750519
2025-09-01,The Pink Tape,Odd Ralph,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Odd%20Ralph-%20The%20Pink%20Tape.jpg,,https://music.apple.com/us/album/pink-tape/1694343104
2025-09-01,Swass,Sir Mix-A-Lot,82,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Swass.jpg,https://open.spotify.com/album/3kE6LwvidNi3jpkLreS170,https://music.apple.com/nz/album/swass/1440818261
2025-09-01,Triple Threat,Triple Threat (Twiztid & Blaze Ya Dead Homie),,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_1/Triple%20Threat%20(Twiztid%20&%20Blaze%20Ya%20Dead%20Homie)-%20Triple%20Threat.jpg,https://open.spotify.com/track/0ThmJj8btE9urVEYtg4ox6,https://music.apple.com/us/album/triple-threat/1491796816
2025-09-02,Back by Blockular Demand: Serve & Collect II,Boss Hogg Outlawz,#48,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Boss%20Hogg%20Outlawz-%20Back%20by%20Blockular%20Demand_%20Serve%20&%20Collect%20II%20.jpg,,https://music.apple.com/us/album/back-by-blockular-demand-serve-collect-ii/288837421
2025-09-02,The Recession,Jeezy,#1,Gold,"490,801,956",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Jeezy-Seen%20It%20All_The%20Autobiography.jpg,https://open.spotify.com/album/0U54jjqJhihezshU9t9cuO,https://music.apple.com/us/album/the-recession-bonus-track-version/1442908571
2025-09-02,TypicalRapShit,Bones,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Bones-TypicalRapShit.jpg,,
2025-09-02,Hallways,Homeboy Sandman,,,"5,533,998",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Hallways_(album).jpg,https://open.spotify.com/album/0fy7kzKCMLuhzKDbPXlMdg,https://music.apple.com/ca/album/hallways/902167000
2025-09-02,"The Sun's Tirade",Isaiah Rashad,#17,Gold,"806,086,353","https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Isaiah%20Rashad-%20The%20Sun's%20Tirade.jpg",https://open.spotify.com/album/6jjX8mGrsWtrpYpFhGMrg1,https://music.apple.com/my/album/the-suns-tirade/1149506748
2025-09-02,Seen It All: The Autobiography,Jeezy,#2,,"191,959,788",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Jeezy-Seen%20It%20All_The%20Autobiography.jpg,https://open.spotify.com/album/0c9M5cLGr4WuWYvgz3kxj6,https://music.apple.com/us/album/seen-it-all-the-autobiography/1443312790
2025-09-02,Ghetto D,Master P,#1,3 x Platinum,"114,063,440",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Master%20P-Ghetto%20D.jpeg,https://open.spotify.com/album/699xAzNxlXxgmkycTEqktC,https://music.apple.com/us/album/ghetto-d-remastered/721278963
2025-09-02,1958,Soul-Junk,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Soul-Junk-%201958.jpg,https://open.spotify.com/album/27jYEoBCmOzhtkY27kh7Ax,https://music.apple.com/nz/album/1958/809918638
2025-09-02,Reindeer Games,The Killjoy Club,,,"4,960,925",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Soul-Junk-%201958.jpg,https://open.spotify.com/album/09iHus8u0onbs3ZDNvODav,https://music.apple.com/us/album/reindeer-games/983398283
2025-09-02,Birds in the Trap Sing McKnight,Travis Scott,#1,Platinum,"6,073,044,915",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/All%20September%20Album/September_2/Travis_Scott_-_Birds_in_the_Trap_Sing_McKnight.png,https://open.spotify.com/album/42WVQWuf1teDysXiOupIZt,https://music.apple.com/us/album/birds-in-the-trap-sing-mcknight/1150135681
